City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Westport,US,41.1415,-73.3579,58.98,46,1,1.99,clear sky
185,Katsuura,JP,35.1333,140.3,67.19,58,0,29.51,clear sky
186,Berlevag,NO,70.8578,29.0864,40.17,91,91,28.97,overcast clouds
187,Catia La Mar,VE,10.6038,-67.0303,82.6,74,20,2.3,few clouds
188,Bougouni,ML,11.417,-7.479,78.01,61,11,5.23,few clouds
189,Hami,CN,42.8,93.45,25.61,55,0,4.29,clear sky
190,Berezovka,BY,53.7214,25.4993,34.63,81,47,7.7,scattered clouds
191,Mayumba,GA,-3.432,10.6554,77.85,87,99,2.08,overcast clouds
192,Lorengau,PG,-2.0226,147.2712,86.18,63,100,11.34,overcast clouds
193,Merano,IT,46.6682,11.1595,42.44,93,43,2.01,scattered clouds
194,New Norfolk,AU,-42.7826,147.0587,57.7,66,98,1.99,overcast clouds
195,Sao Filipe,CV,14.8961,-24.4956,76.26,77,21,7.7,few clouds
196,Gazanjyk,TM,39.2446,55.5154,51.31,89,0,10.49,clear sky
197,Beloha,MG,-25.1667,45.05,71.73,80,51,3.74,broken clouds
198,Nemuro,JP,43.3236,145.575,55.83,80,1,21.72,clear sky
199,Kimbe,PG,-5.5502,150.1429,89.01,60,90,3.31,light rain
200,Axim,GH,4.8699,-2.2405,78.31,85,80,5.44,broken clouds
201,Suez,EG,29.9737,32.5263,65.03,79,90,7.16,overcast clouds
202,Geraldton,AU,-28.7667,114.6,66.61,63,0,14.97,clear sky
203,Emba,KZ,48.8264,58.1442,41.49,39,100,5.68,overcast clouds
204,Kharp,RU,66.8014,65.8081,4.87,92,49,4.32,scattered clouds
205,Dunedin,NZ,-45.8742,170.5036,61.47,71,56,11.45,broken clouds
206,Great Falls,US,47.5002,-111.3008,39.65,43,1,8.99,clear sky
207,Kirkenaer,NO,60.4564,12.0582,36.88,89,1,4.63,clear sky
208,Stawell,AU,-37.05,142.7667,57.33,52,77,15.82,broken clouds
209,Seymchan,RU,62.8833,152.4333,5.31,69,100,0.96,overcast clouds
210,Morros,BR,-9.4467,-46.3003,73.72,82,92,3.74,overcast clouds
