City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Mbandaka,CD,70.77,overcast clouds,0.0487,18.2603,Guest House Epervier
585,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
591,Port-Gentil,GA,78.73,overcast clouds,-0.7193,8.7815,Fengshui Residence
595,Biloela,AU,85.41,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
597,Dondo,MZ,78.31,overcast clouds,-19.6094,34.7431,Arco Iris
601,Bubaque,GW,82.92,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
603,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
604,Anito,PH,79.48,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
605,Diu,IN,74.01,broken clouds,20.7141,70.9822,Hotel Relax Inn
610,Mouila,GA,73.81,light rain,-1.8685,11.0559,Hôtel du Lac Bleu
614,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Selina Pedasi
621,Aden,YE,81.03,clear sky,12.7794,45.0367,Sama Emirate Hotel
624,Aquin,HT,77.68,few clouds,18.2833,-73.4,Asheev Beach
625,Iracoubo,GF,78.01,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
629,Trairi,BR,79.65,overcast clouds,-3.2778,-39.2689,janelas do mar
631,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
638,Tanete,ID,86.2,broken clouds,-3.9443,119.7848,Wisma Tri Multi
640,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
641,Tecoanapa,MX,78.76,clear sky,16.5167,-98.75,Hotel Manglares
643,Hirara,JP,70.07,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
647,Surt,LY,70.57,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
648,Otautau,NZ,72.84,overcast clouds,-46.15,168.0,Otautau Hotel
651,Puerto Carreno,CO,79.84,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
655,Puerto Armuelles,PA,73.38,scattered clouds,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
659,Kalmunai,LK,76.57,overcast clouds,7.4167,81.8167,VS Villa
660,Daru,PG,87.82,overcast clouds,-9.0763,143.2092,Daru Lodge
661,Jacareacanga,BR,72.79,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
665,Yarada,IN,80.92,haze,17.65,83.2667,MR-SAGAR_KUMAR_RTR™
669,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
670,Bom Jardim,BR,72.27,few clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
