City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Comodoro Rivadavia,AR,2021-11-07 18:17:16,-45.8667,-67.5,69.66,35,40,13.8
192,Diapaga,BF,2021-11-07 18:19:59,12.0708,1.7889,88.43,12,1,7.7
193,Asau,RO,2021-11-07 18:19:59,46.4333,26.4,53.76,68,90,5.66
194,Aktau,KZ,2021-11-07 18:20:00,43.65,51.2,34.38,49,100,8.23
195,Baghdad,IQ,2021-11-07 18:18:37,33.3406,44.4009,60.71,27,0,8.05
196,Urumqi,CN,2021-11-07 18:16:43,43.801,87.6005,16.75,68,0,4.47
197,Kavieng,PG,2021-11-07 18:20:00,-2.5744,150.7967,82.29,79,23,14.76
198,Vardo,NO,2021-11-07 18:20:01,70.3705,31.1107,30.18,69,75,18.41
199,Wadi Musa,JO,2021-11-07 18:20:02,30.3222,35.4793,62.98,28,0,6.24
200,Clyde River,CA,2021-11-07 18:15:21,70.4692,-68.5914,12.43,92,90,18.41
201,Vila Velha,BR,2021-11-07 18:20:02,-20.3297,-40.2925,76.95,81,75,3.0
202,Vostok,RU,2021-11-07 18:20:02,46.4856,135.8833,24.35,34,100,1.74
203,Emerald,AU,2021-11-07 18:20:03,-23.5333,148.1667,72.43,86,99,9.28
204,Adrar,MR,2021-11-07 18:20:04,20.5022,-10.0711,79.16,19,0,6.02
205,Pochutla,MX,2021-11-07 18:20:04,15.7432,-96.4661,89.42,50,47,5.57
206,Roald,NO,2021-11-07 18:20:04,62.5833,6.1333,41.32,75,0,16.11
207,Champerico,GT,2021-11-07 18:20:05,14.3,-91.9167,91.35,70,75,6.82
208,Tonekabon,IR,2021-11-07 18:20:05,36.8163,50.8738,49.95,70,19,2.44
209,Kose,TR,2021-11-07 18:20:05,40.21,39.6511,39.76,65,52,3.8
210,Razole,IN,2021-11-07 18:20:06,16.4833,81.8333,77.29,78,68,4.43
211,Vaitape,PF,2021-11-07 18:20:06,-16.5167,-151.75,79.59,72,3,6.46
212,Cockburn Town,TC,2021-11-07 18:20:07,21.4612,-71.1419,84.16,74,40,6.91
213,Lakes Entrance,AU,2021-11-07 18:20:08,-37.8811,147.981,55.17,77,100,5.26
214,Olafsvik,IS,2021-11-07 18:20:08,64.8945,-23.7142,33.31,76,97,20.13
215,Rio Gallegos,AR,2021-11-07 18:20:08,-51.6226,-69.2181,60.85,25,40,31.07
216,Ribeira Grande,PT,2021-11-07 18:20:09,38.5167,-28.7,70.2,88,75,21.85
217,La Ronge,CA,2021-11-07 18:20:09,55.1001,-105.2842,30.45,86,40,0.0
218,Itarema,BR,2021-11-07 18:20:10,-2.9248,-39.9167,86.41,62,82,17.85
219,Amalapuram,IN,2021-11-07 18:20:10,16.5833,82.0167,77.38,77,78,4.63
220,Faya,SA,2021-11-07 18:17:59,18.3851,42.4509,59.52,62,6,1.72
221,Codrington,AU,2021-11-07 18:20:10,-38.2667,141.9667,41.77,86,1,4.36
222,Broome,US,2021-11-07 18:20:11,42.2506,-75.833,57.58,42,1,1.99
223,Belmonte,BR,2021-11-07 18:20:11,-15.8631,-38.8828,82.4,74,65,10.2
224,Edgecumbe,NZ,2021-11-07 18:20:12,-37.9833,176.8333,60.51,95,33,2.84
225,Kidal,ML,2021-11-07 18:20:12,18.4411,1.4078,88.52,13,37,3.51
226,Petropavlovsk-Kamchatskiy,RU,2021-11-07 18:16:51,53.0452,158.6483,19.99,100,90,4.47
227,Atar,MR,2021-11-07 18:20:12,20.5169,-13.0499,89.65,23,0,9.22
228,Cardston,CA,2021-11-07 18:15:53,49.2,-113.3019,40.86,52,0,14.97
229,Souillac,MU,2021-11-07 18:20:13,-20.5167,57.5167,77.38,78,40,8.05
230,Novyy Urengoy,RU,2021-11-07 18:21:13,66.0833,76.6333,33.17,97,100,17.36
231,Mayo,US,2021-11-07 18:21:13,38.8876,-76.5119,59.34,50,1,13.0
232,Bugiri,UG,2021-11-07 18:21:14,0.5714,33.7417,66.61,83,98,8.43
233,Ushtobe,KZ,2021-11-07 18:21:14,45.2514,77.9838,20.43,84,5,8.63
234,Lorengau,PG,2021-11-07 18:21:15,-2.0226,147.2712,80.26,81,22,6.98
235,Sitka,US,2021-11-07 18:21:15,57.0531,-135.33,39.09,70,40,4.61
236,Erechim,BR,2021-11-07 18:21:15,-27.6342,-52.2739,82.44,66,89,5.84
237,Leningradskiy,RU,2021-11-07 18:21:15,69.3833,178.4167,5.79,85,96,3.69
238,Tiksi,RU,2021-11-07 18:21:16,71.6872,128.8694,7.88,77,91,17.36
239,Alekseyevka,RU,2021-11-07 18:21:16,50.6309,38.6903,42.96,82,42,6.49
240,Severo-Kurilsk,RU,2021-11-07 18:21:16,50.6789,156.125,34.66,65,84,23.98
241,Broken Hill,AU,2021-11-07 18:21:16,-31.95,141.4333,58.44,55,41,13.87
242,Ponta Pora,BR,2021-11-07 18:21:17,-22.5361,-55.7256,75.11,83,40,6.91
243,Dire,ML,2021-11-07 18:21:17,12.2833,-10.9667,85.84,51,37,3.53
244,Port Hardy,CA,2021-11-07 18:21:17,50.6996,-127.4199,42.8,93,90,2.3
245,Guerrero Negro,MX,2021-11-07 18:21:17,27.9769,-114.0611,71.92,60,62,6.24
246,Popondetta,PG,2021-11-07 18:21:18,-8.7537,148.2534,73.72,84,2,3.0
247,Alma,CA,2021-11-07 18:18:42,48.5501,-71.6491,50.11,59,92,9.35
248,Pangody,RU,2021-11-07 18:21:18,65.85,74.4859,33.22,98,100,17.69
249,Santa Cruz,BO,2021-11-07 18:21:18,-17.8,-63.1667,82.45,42,75,17.27
250,Olavarria,AR,2021-11-07 18:21:19,-36.8927,-60.3225,71.02,52,41,8.59
251,Weatherford,US,2021-11-07 18:18:10,32.7593,-97.7972,73.33,50,0,1.01
252,Vrangel,RU,2021-11-07 18:21:19,42.7297,133.0839,47.05,82,100,13.47
253,Beloha,MG,2021-11-07 18:21:19,-25.1667,45.05,72.05,79,42,11.99
254,Linxia,CN,2021-11-07 18:21:20,35.6003,103.2064,19.65,78,3,3.02
